id,true_type,false_edges,missed_edges,false_reciprocal,hidden_reciprocal,on_analysis_cell,size_outlier,misassigned_synapses
E01,merge,0,0,0,0,0,0,0
E02,not_error,0,0,0,0,0,0,0
E03,merge,9,0,2,0,1,0,0
E04,merge,0,0,0,0,0,0,0
E05,split,0,0,0,0,0,0,0
E06,merge,10,0,3,0,1,0,0
E07,split,0,0,0,0,0,0,0
E08,merge,6,0,0,0,1,0,0
E09,merge,0,0,0,0,0,0,0
E10,split,0,0,0,0,0,0,0
E11,split,0,8,0,2,1,0,0
E12,not_error,0,0,0,0,0,0,0
E13,split,0,7,0,1,1,0,0
E14,split,0,0,0,0,0,0,0
E15,merge,0,0,0,0,0,0,0
E16,split,0,9,0,2,1,0,0
E17,split,0,3,0,0,1,0,0
E18,split,0,5,0,1,1,0,0
E19,merge,1,0,0,0,0,0,0
E20,merge,1,0,0,0,0,0,0
E21,merge,7,0,1,0,1,0,0
E22,split,0,1,0,0,1,0,0
E23,split,0,0,0,0,0,0,0
E24,merge,15,0,2,0,1,0,0
E25,merge,0,0,0,0,0,0,0
E26,merge,6,0,1,0,1,0,0
E27,split,0,0,0,0,0,0,0
E28,split,0,1,0,0,1,0,0
E29,split,0,0,0,0,0,0,0
E30,split,0,1,0,0,0,0,0
E31,merge,5,0,1,0,1,0,0
E32,merge,7,0,1,0,1,0,0
E33,split,0,0,0,0,0,0,0
E34,split,0,0,0,0,0,0,0
E35,split,0,7,0,2,1,0,0
E36,merge,14,0,1,0,1,0,0
E37,split,0,8,0,2,1,0,0
E38,merge,17,0,3,0,1,0,0
E39,split,0,9,0,2,1,0,0
E40,merge,12,0,1,0,1,0,0
E41,merge,2,0,0,0,0,0,0
E42,merge,0,0,0,0,0,0,0
E43,merge,12,0,1,0,1,0,0
E44,split,0,0,0,0,0,0,0
E45,split,0,8,0,1,1,0,0
