10.1038/nn1447	Geometric and functional organization of cortical circuits	Nature Neuroscience	Can neuronal morphology predict functional synaptic circuits? In the rat barrel cortex, 'barrels' and 'septa' delineate an orderly matrix of cortical columns. Using quantitative laser scanning photostimulation we measured the strength of excitatory projections
10.1126/science.aaf1836	Synaptic mechanisms of pattern completion in the hippocampal CA3 network	Science	The hippocampal CA3 region plays a key role in learning and memory. Recurrent CA3–CA3 synapses are thought to be the subcellular substrate of pattern completion. However, the synaptic mechanisms of this network computation remain enigmatic. To investigate thes
10.1523/jneurosci.4994-13.2015	Cortical State Determines Global Variability and Correlations in Visual Cortex	Journal of Neuroscience	The response of neurons in sensory cortex to repeated stimulus presentations is highly variable. To investigate the nature of this variability, we compared the spike activity of neurons in the primary visual cortex (V1) of cats with that of their afferents fro
10.1007/978-3-030-11024-6_25	Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets	ECCV Workshops	Synaptic connectivity detection is a critical task for neural reconstruction from Electron Microscopy (EM) data. Most of the existing algorithms for synapse detection do not identify the cleft location and direction of connectivity simultaneously. The few meth
10.1038/s41467-025-67789-z	Volatile and non-volatile pathogen cues shape host extracellular vesicles production in pre-infection response	Nature Communications	In natural environments, animals encounter pathogen-derived chemicals long before infection occurs. How such anticipatory cues influence extracellular vesicle (EV) dynamics, which are central to immune regulation, intercellular communication, and stress respon
10.1093/cercor/bhae416	Cortical development in the structural model and free energy minimization	Cerebral Cortex	Abstract A model of neocortical development invoking Friston’s Free Energy Principle is applied within the Structural Model of Barbas et al. and the associated functional interpretation advanced by Tucker and Luu. Evolution of a neural field with Hebbian and a
10.1016/j.cub.2018.04.075	Zebrafish Differentially Process Color across Visual Space to Match Natural Scenes.	Current Biology	Animal eyes have evolved to process behaviorally important visual information, but how retinas deal with statistical asymmetries in visual space remains poorly understood. Using hyperspectral imaging in the field, in vivo 2-photon imaging of retinal neurons, a
10.64898/2025.12.27.696649	Neural Latching Switch Circuits for implementing Finite-State Automata	bioRxiv	Cognitive processes rely on switches between mental states. Mental states are thought to be supported by cell assembly activations as introduced by Hebb. This idea has been formalized using attractor neural networks, leading to detailed mechanistic and quantit
10.1007/978-4-431-54496-8_8	Hierarchical Organization of Neocortical Neuron Types	Cortical Development	
10.1016/j.celrep.2023.112006	Distinctive synaptic structural motifs link excitatory retinal interneurons to diverse postsynaptic partner types	Cell Reports	SUMMARY Neurons make converging and diverging synaptic connections with distinct partner types. Whether synapses involving separate partners demonstrate similar or distinct structural motifs is not yet well understood. We thus used serial electron microscopy i
10.1152/jn.00526.2015	Morphology and function of three VIP-expressing amacrine cell types in the mouse retina.	Journal of Neurophysiology	Amacrine cells (ACs) are the most diverse class of neurons in the retina. The variety of signals provided by ACs allows the retina to encode a wide range of visual features. Of the 30–50 AC types in mammalian species, few have been studied in detail. Here, we 
10.1038/nature17941	Topology of ON and OFF inputs in visual cortex enables an invariant columnar architecture	Nature	Circuits in the visual cortex integrate the information derived from separate ON (light-responsive) and OFF (dark-responsive) pathways to construct orderly columnar representations of stimulus orientation and visual space. How this transformation is achieved t
10.1038/s41592-023-01836-9	Neural engineering with photons as synaptic transmitters	Nature Methods	Neuronal computation is achieved through connections of individual neurons into a larger network. To expand the repertoire of endogenous cellular communication, we developed a synthetic, photon-assisted synaptic transmission (PhAST) system. PhAST is based on l
10.1038/s41598-021-85841-y	Predictive olfactory learning in Drosophila	Scientific Reports	Olfactory learning and conditioning in the fruit fly is typically modelled by correlation-based associative synaptic plasticity. It was shown that the conditioning of an odor-evoked response by a shock depends on the connections from Kenyon cells (KC) to mushr
10.1371/journal.pbio.3002149	Ring neurons in the Drosophila central complex act as a rheostat for sensory modulation of aging	PLoS Biology	Sensory perception modulates aging, yet we know little about how. An understanding of the neuronal mechanisms through which animals orchestrate biological responses to relevant sensory inputs would provide insight into the control systems that may be important
10.1007/978-1-4939-6688-2_13	3D d STORM Imaging of Fixed Brain Tissue.	Methods in molecular biology	Central nervous system tissue contains a high density of synapses each composed of an intricate molecular machinery mediating precise transmission of information. Deciphering the molecular nanostructure of pre- and postsynaptic specializations within such a co
10.1371/journal.pcbi.1005668	Cooperative stochastic binding and unbinding explain synaptic size dynamics and statistics	PLoS Comput. Biol.	Synapses are dynamic molecular assemblies whose sizes fluctuate significantly over time-scales of hours and days. In the current study, we examined the possibility that the spontaneous microscopic dynamics exhibited by synaptic molecules can explain the macros
10.1088/1741-2560/12/6/066023	Signal transfer within a cultured asymmetric cortical neuron circuit	Journal of Neural Engineering	OBJECTIVE: Simplified neuronal circuits are required for investigating information representation in nervous systems and for validating theoretical neural network models. Here, we developed patterned neuronal circuits using micro fabricated devices, comprising
10.1038/s41467-017-01989-0	Ingestion of artificial sweeteners leads to caloric frustration memory in Drosophila	Nature Communications	Non-caloric artificial sweeteners (NAS) are widely used in modern human food, raising the question about their health impact. Here we have asked whether NAS consumption is a neutral experience at neural and behavioral level, or if NAS can be interpreted and re
10.1101/2024.11.06.622263	Single Objective Light Sheet Microscopy allows high-resolution                   <i>in</i>                   vivo brain imaging of Drosophila.		In vivo imaging of dynamic sub-cellular brain structures in Drosophila melanogaster is key to understanding several phenomena in neuroscience. However, its implementation has been hindered by a trade-off between spatial resolution, speed, photobleaching, photo
10.3389/fnsys.2021.688673	Convergence Circuit Mapping: Genetic Approaches From Structure to Function	Frontiers in Systems Neuroscience	Understanding the complex neural circuits that underpin brain function and behavior has been a long-standing goal of neuroscience. Yet this is no small feat considering the interconnectedness of neurons and other cell types, both within and across brain region
10.1007/978-1-59745-489-6_19	Connexins in the Mammalian Retina	Connexins	Gap junctions are particularly numerous in the retina and found in every major retinal cell type. They provide the primary connections in certain retinal pathways and form the substrate for signal averaging in others. At least four neuronal connexins are found
10.3389/fncir.2014.00149	Visual cortical areas of the mouse: comparison of parcellation and network structure with primates	Front. Neural Circuits	Brains have evolved to optimize sensory processing. In primates, complex cognitive tasks must be executed and evolution led to the development of large brains with many cortical areas. Rodents do not accomplish cognitive tasks of the same level of complexity a
10.7554/elife.45696	MagC, magnetic collection of ultrathin sections for volumetric correlative light and electron microscopy	bioRxiv	The non-destructive collection of ultrathin sections onto silicon wafers for post-embedding staining and volumetric correlative light and electron microscopy traditionally requires exquisite manual skills and is tedious and unreliable. In MagC introduced here,
10.3389/fncir.2013.00071	Analyzing the structure and function of neuronal circuits in zebrafish	Front. Neural Circuits	The clever choice of animal models has been instrumental for many breakthrough discoveries in life sciences. One of the outstanding challenges in neuroscience is the in-depth analysis of neuronal circuits to understand how interactions between large numbers of
10.1016/j.neuroimage.2013.03.023	The human connectome: Origins and challenges	NeuroImage	The human connectome refers to a map of the brain's structural connections, rendered as a connection matrix or network. This article attempts to trace some of the historical origins of the connectome, in the process clarifying its definition and scope, as well
10.1242/bio.044834	Comparing 3D ultrastructure of presynaptic and postsynaptic mitochondria	Biology Open	ABSTRACT Serial-section electron microscopy such as FIB-SEM (focused ion beam scanning electron microscopy) has become an important tool for neuroscientists to trace the trajectories and global architecture of neural circuits in the brain, as well as to visual
10.3389/fopht.2023.1134765	Functional properties of GABAA receptors of AII amacrine cells of the rat retina	Frontiers in Ophthalmology	Amacrine cells are a highly diverse group of inhibitory retinal interneurons that sculpt the responses of bipolar cells, ganglion cells, and other amacrine cells. They integrate excitatory inputs from bipolar cells and inhibitory inputs from other amacrine cel
10.1523/jneurosci.0326-25.2026	Binocular Circuitry as a Model for Understanding Experience-Dependent Circuit Development across the Mammalian Cortex	Journal of Neuroscience	The binocular circuitry in mammals (e.g., mice, cats, and primates) integrates two distinct visual cortical circuitries—the contralateral and ipsilateral eye circuitries—into a cohesive functional system for three-dimensional vision. These two circuitries, dif
10.1016/j.jneumeth.2013.12.003	Evaluation of the effectiveness of Gaussian filtering in distinguishing punctate synaptic signals from background noise during image analysis.	Journal of Neuroscience Methods	Background Images in biomedical imaging research are often affected by non-specific background noise. This poses a serious problem when the noise overlaps with specific signals to be quantified, e.g. for their number and intensity. A simple and effective means
10.1523/jneurosci.1400-04.2004	A Quantitative Map of the Circuit of Cat Primary Visual Cortex	Journal of Neuroscience	We developed a quantitative description of the circuits formed in cat area 17 by estimating the “weight” of the projections between different neuronal types. To achieve this, we made three-dimensional reconstructions of 39 single neurons and thalamic afferents
10.1016/j.tics.2019.01.014	Brain Modularity: A Biomarker of Intervention-Related Plasticity	Trends in Cognitive Sciences	Interventions using methods such as cognitive training and aerobic exercise have shown potential to enhance cognitive abilities. However, there is often pronounced individual variability in the magnitude of these gains. Here, we propose that brain network modu
10.1038/s41586-018-0452-0	Past experience shapes sexually dimorphic neuronal wiring through monoaminergic signaling	Nature	Differences between female and male brains exist across the animal kingdom and extend from molecular to anatomical features. Here we show that sexually dimorphic anatomy, gene expression and function in the nervous system can be modulated by past experiences. 
10.1016/b978-0-12-416026-2.00014-5	Integrative approaches for cellular cryo-electron tomography: correlative imaging and focused ion beam micromachining.	Methods in Cell Biology	The application of cryo-electron tomography to cells and tissues is commonly referred to as "cellular tomography," and enables visualization of the supramolecular architecture of cells in a near-native state. However, in order to access structural features hid
10.3389/fnsyn.2019.00015	Multiple Two-Photon Targeted Whole-Cell Patch-Clamp Recordings From Monosynaptically Connected Neurons in vivo	bioRxiv	Although we know a great deal about monosynaptic connectivity, transmission and integration in the mammalian nervous system from in vitro studies, very little is known in vivo. This is partly because it is technically difficult to evoke action potentials and s
