10.1101/2023.07.03.547492	Polymodal sensory perception of mechanical and chemical cues drives robust settlement and metamorphosis of a marine pre-vertebrate zooplanktonic larva	bioRxiv	The Earth’s oceans brim with an incredible diversity of microscopic planktonic animals, many of which correspond to the transient larval stage in the life cycles of benthic marine organisms. The mechanisms by which marine larvae use their nervous system to sen
10.1016/bs.mcb.2014.12.012	Analysis of primary cilia in the developing mouse brain.	Methods in Cell Biology	Stem and progenitor cells in the developing mammalian brain are highly polarized cells that carry a primary cilium protruding into the brain ventricles. Here, cilia detect signals present in the cerebrospinal fluid that fills the ventricles. Recently, striking
10.1002/glia.20712	Morphogenesis and regulation of Bergmann glial processes during Purkinje cell dendritic spine ensheathment and synaptogenesis	Glia	Astrocytes have an important role in synaptic formation and function but how astrocytic processes become associated with synaptic structures during development is not well understood. Here we analyzed the pattern of growth of the processes extending off the ma
10.1016/j.neuron.2016.07.034	Experience-dependent plasticity drives individual differences in pheromone-sensing neurons	Neuron	SUMMARY Different individuals exhibit distinct behaviors, but studying the neuronal basis of individuality is a daunting challenge. Here, we considered this question in the vomeronasal organ, a pheromone-detecting epithelium containing hundreds of distinct neu
10.3389/fcell.2021.744248	Electron Microscopy Techniques for Investigating Structure and Composition of Hair-Cell Stereociliary Bundles	Frontiers in Cell and Developmental Biol	Hair cells—the sensory cells of the vertebrate inner ear—bear at their apical surfaces a bundle of actin-filled protrusions called stereocilia, which mediate the cells’ mechanosensitivity. Hereditary deafness is often associated with morphological disorganizat
10.1101/2024.09.22.614271	Bridging the gap between the connectome and whole-brain activity in C. elegans	bioRxiv	A fundamental goal of neuroscience is to understand how anatomy determines the functional properties of the nervous system. However, previous work has failed to show how the functional connections between neurons are derived from the connectome in the nematode
10.1101/2023.09.26.558265	A Scalable Staining Strategy for Whole-Brain Connectomics	bioRxiv	Mapping the complete synaptic connectivity of a mammalian brain would be transformative, revealing the pathways underlying perception, behavior, and memory. Serial section electron microscopy, via membrane staining using osmium tetroxide, is ideal for visualiz
10.1371/journal.pcbi.1004858	High-Degree Neurons Feed Cortical Computations	PLoS Comput. Biol.	Recent work has shown that functional connectivity among cortical neurons is highly varied, with a small percentage of neurons having many more connections than others. Also, recent theoretical developments now make it possible to quantify how neurons modify i
10.3389/finsc.2026.1862257	Expression and RNAi characterization of neuropeptides underlying developmental regulation in the Colorado potato beetle	Frontiers in Insect Science	Neuropeptides are evolutionarily ancient signaling molecules that act through diverse G protein-coupled receptor (GPCR) pathways to coordinate essential physiological and behavioral processes in insects. Despite their broad functional importance, the specific 
10.3389/fncom.2019.00064	Recurrence Resonance” in Three-Neuron Motifs	Frontiers in Computational Neuroscience	Stochastic Resonance (SR) and Coherence Resonance (CR) are non-linear phenomena, in which an optimal amount of noise maximizes an objective function, such as the sensitivity for weak signals in SR, or the coherence of stochastic oscillations in CR. Here, we de
10.1073/pnas.0811168106	Predicting human resting-state functional connectivity from structural connectivity	Proceedings of the National Academy of S	In the cerebral cortex, the activity levels of neuronal populations are continuously fluctuating. When neuronal activity, as measured using functional MRI (fMRI), is temporally coherent across 2 populations, those populations are said to be functionally connec
10.1097/00004647-200110000-00001	An Energy Budget for Signaling in the Grey Matter of the Brain	Journal of Cerebral Blood Flow and Metab	Anatomic and physiologic data are used to analyze the energy expenditure on different components of excitatory signaling in the grey matter of rodent brain. Action potentials and postsynaptic effects of glutamate are predicted to consume much of the energy (47
