10.1523/jneurosci.09-08-02982.1989	Dendritic spines of CA 1 pyramidal cells in the rat hippocampus: serial electron microscopy with reference to their biophysical characteristics	Journal of Neuroscience	Serial electron microscopy and 3-D reconstructions of dendritic spines from hippocampal area CA 1 dendrites were obtained to evaluate 2 questions about relationships between spine geometry and synaptic efficacy. First, under what biophysical conditions are the
10.1016/s0959-4388(96)80125-5	Saturation of postsynaptic receptors at central synapses?	Current Opinion in Neurobiology	A fundamental issue in synaptic physiology is whether the postsynaptic response to a quantum of transmitter is limited by the number of receptors available. Fierce debate over the past few years has yielded no consensus. The majority of evidence suggests that 
10.1016/j.neuron.2011.02.006	Synaptic integration gradients in single cortical pyramidal cell dendrites	Neuron	Cortical pyramidal neurons receive thousands of synaptic inputs, arriving at different dendritic locations with varying degrees of temporal synchrony. It is not known if different locations along single cortical dendrites integrate excitatory inputs in differe
10.1038/s41593-026-02343-8	Neural timescales from a computational perspective	Nature Neuroscience	Neural activity fluctuates over a wide range of timescales within and across brain areas. Experimental observations suggest that diverse neural timescales reflect information in dynamic environments. However, the definitions and measurements of timescales deri
10.1016/s0896-6273(00)81044-2	Dendritic GABA release depresses excitatory transmission between layer 2/3 pyramidal and bitufted neurons in rat neocortex.	Neuron	GABAergic, somatostatin-containing bitufted interneurons in layer 2/3 of rat neocortex are excited via glutamatergic excitatory postsynaptic potentials (EPSPs) by pyramidal neurons located in the same cortical layer. Pair recordings showed that short bursts of
10.1111/cgf.14532	Barrio: Customizable Spatial Neighborhood Analysis and Comparison for Nanoscale Brain Structures	Computer graphics forum (Print)	High‐resolution electron microscopy imaging allows neuroscientists to reconstruct not just entire cells but individual cell substructures (i.e., cell organelles) as well. Based on these data, scientists hope to get a better understanding of brain function and 
10.1002/cne.23523	Synapses lacking astrocyte appear in the amygdala during consolidation of Pavlovian threat conditioning	The Journal of comparative neurology	There is growing evidence that astrocytes, long held to merely provide metabolic support in the adult brain, participate in both synaptic plasticity and learning and memory. Astrocytic processes are sometimes present at the synaptic cleft, suggesting that they
10.1038/s41467-017-00037-1	Reactive astrocytes function as phagocytes after brain ischemia via ABCA1-mediated pathway	Nature Communications	Astrocytes become reactive following various brain insults; however, the functions of reactive astrocytes are poorly understood. Here, we show that reactive astrocytes function as phagocytes after transient ischemic injury and appear in a limited spatiotempora
10.1016/j.cub.2021.10.026	Neural development: The role of spontaneous activity.	Current Biology	Developing nervous systems exhibit spontaneous activity. Two new studies identify the instructive influence such activity has on the formation of functionally appropriate circuits.
10.1101/2025.09.15.676403	Developmental Connectomics of the Mouse Cerebellum	bioRxiv	To uncover the developmental processes that establish the precise patterns of synaptic connectivity in the CNS, we employed a connectomic approach in the mouse cerebellar cortex between birth and 2 weeks of age. There were dramatic quantitative and qualitative
